date,PM10,PM2_5
2022-04-19 00:00:03,12.9,5.7
2022-04-19 00:01:03,13.0,5.4
2022-04-19 00:02:03,13.8,5.7
2022-04-19 00:03:03,13.6,6.0
2022-04-19 00:04:03,14.0,5.8
2022-04-19 00:05:03,14.7,5.8
2022-04-19 00:06:02,13.9,5.9
2022-04-19 00:07:02,13.9,5.9
2022-04-19 00:08:03,14.6,5.7
2022-04-19 00:09:03,13.0,5.5
2022-04-19 00:10:03,12.9,5.4
2022-04-19 00:11:03,15.4,5.8
2022-04-19 00:12:03,12.9,5.4
2022-04-19 00:13:03,13.4,5.3
2022-04-19 00:14:03,12.7,5.5
2022-04-19 00:15:03,12.8,5.5
2022-04-19 00:16:03,15.1,5.6
2022-04-19 00:17:03,13.4,5.6
2022-04-19 00:18:03,13.5,5.2
2022-04-19 00:19:03,13.7,5.4
2022-04-19 00:20:03,14.3,5.4
2022-04-19 00:21:03,12.3,5.0
2022-04-19 00:22:03,11.3,4.9
2022-04-19 00:23:03,14.3,5.3
2022-04-19 00:24:03,13.5,5.1
2022-04-19 00:25:03,12.3,5.1
2022-04-19 00:26:03,13.3,4.9
2022-04-19 00:27:02,12.3,5.2
2022-04-19 00:28:02,13.2,5.2
2022-04-19 00:29:03,11.5,4.8
2022-04-19 00:30:03,14.2,5.3
2022-04-19 00:31:03,12.4,5.0
2022-04-19 00:32:03,12.9,5.4
2022-04-19 00:33:03,12.5,5.2
2022-04-19 00:34:03,11.9,5.3
2022-04-19 00:35:03,12.2,5.1
2022-04-19 00:36:03,13.1,5.5
2022-04-19 00:37:03,13.2,5.6
2022-04-19 00:38:03,13.7,5.5
2022-04-19 00:39:03,13.1,5.2
2022-04-19 00:40:03,13.7,5.1
2022-04-19 00:41:03,12.2,5.4
2022-04-19 00:42:03,13.0,5.3
2022-04-19 00:43:03,12.8,5.2
2022-04-19 00:44:03,12.4,5.4
2022-04-19 00:45:03,12.3,5.3
2022-04-19 00:46:03,14.6,5.3
2022-04-19 00:47:03,12.4,5.1
2022-04-19 00:48:03,12.4,5.2
2022-04-19 00:49:03,14.2,5.1
2022-04-19 00:50:03,12.2,5.1
2022-04-19 00:51:02,11.8,5.2
2022-04-19 00:52:02,13.9,5.4
2022-04-19 00:53:02,13.3,5.2
2022-04-19 00:54:03,12.1,5.3
2022-04-19 00:55:03,13.4,5.3
2022-04-19 00:56:03,11.8,5.1
2022-04-19 00:57:03,12.2,5.0
2022-04-19 00:58:03,11.8,5.0
2022-04-19 00:59:03,11.8,5.0
2022-04-19 01:00:03,13.1,5.1
2022-04-19 01:01:03,11.8,5.5
2022-04-19 01:02:03,12.5,5.2
2022-04-19 01:03:03,13.0,5.3
2022-04-19 01:04:03,13.1,5.4
2022-04-19 01:05:03,13.0,5.4
2022-04-19 01:06:03,18.1,5.6
2022-04-19 01:07:03,13.4,5.6
2022-04-19 01:08:03,11.7,5.4
2022-04-19 01:09:03,12.5,5.5
2022-04-19 01:10:03,14.3,5.7
2022-04-19 01:11:03,15.0,6.0
2022-04-19 01:12:03,14.1,5.9
2022-04-19 01:13:03,12.4,5.4
2022-04-19 01:14:03,12.9,5.6
2022-04-19 01:15:03,12.2,5.3
2022-04-19 01:16:03,14.3,5.4
2022-04-19 01:17:03,12.3,5.6
2022-04-19 01:18:03,13.4,5.6
2022-04-19 01:19:03,13.9,5.7
2022-04-19 01:20:02,13.3,5.4
2022-04-19 01:21:02,12.9,5.1
2022-04-19 01:22:02,12.4,5.5
2022-04-19 01:23:03,12.2,5.3
2022-04-19 01:24:03,12.8,5.4
2022-04-19 01:25:03,12.8,5.1
2022-04-19 01:26:03,12.2,4.9
2022-04-19 01:27:03,14.2,5.6
2022-04-19 01:28:03,12.5,5.6
2022-04-19 01:29:03,11.7,5.3
2022-04-19 01:30:03,12.0,5.0
2022-04-19 01:31:03,13.4,5.5
2022-04-19 01:32:03,13.5,5.5
2022-04-19 01:33:03,14.5,5.3
2022-04-19 01:34:03,13.2,5.3
2022-04-19 01:35:03,12.4,5.4
2022-04-19 01:36:03,11.9,5.0
2022-04-19 01:37:03,13.9,5.5
2022-04-19 01:38:03,11.9,5.3
2022-04-19 01:39:03,11.6,5.3
2022-04-19 01:40:03,12.8,5.6
2022-04-19 01:41:03,12.7,5.5
2022-04-19 01:42:03,16.2,5.1
2022-04-19 01:43:03,12.3,5.4
2022-04-19 01:44:03,11.7,5.2
2022-04-19 01:45:03,12.0,5.0
2022-04-19 01:46:03,12.5,5.3
2022-04-19 01:47:02,12.8,5.3
2022-04-19 01:48:02,11.9,5.2
2022-04-19 01:49:02,11.5,4.9
2022-04-19 01:50:03,12.2,5.2
2022-04-19 01:51:03,11.8,5.0
2022-04-19 01:52:03,12.6,5.5
2022-04-19 01:53:03,11.8,4.9
2022-04-19 01:54:03,11.1,5.4
2022-04-19 01:55:03,13.0,5.5
2022-04-19 01:56:03,11.9,5.0
2022-04-19 01:57:03,11.2,4.9
2022-04-19 01:58:03,13.1,4.9
2022-04-19 01:59:03,11.8,5.2
2022-04-19 02:00:03,11.3,4.8
2022-04-19 02:01:03,12.0,5.0
2022-04-19 02:02:03,11.3,5.1
2022-04-19 02:03:03,13.7,4.8
2022-04-19 02:04:03,12.3,5.0
2022-04-19 02:05:03,11.3,4.7
2022-04-19 02:06:03,11.4,4.7
2022-04-19 02:07:03,11.8,4.8
2022-04-19 02:08:03,11.2,4.7
2022-04-19 02:09:03,13.0,4.8
2022-04-19 02:10:03,10.9,4.5
2022-04-19 02:11:03,15.0,4.9
2022-04-19 02:12:03,11.8,5.2
2022-04-19 02:13:03,11.3,4.8
2022-04-19 02:14:03,11.9,4.8
2022-04-19 02:15:03,11.8,4.8
2022-04-19 02:16:03,10.9,4.8
2022-04-19 02:17:03,11.8,4.9
2022-04-19 02:18:03,11.4,4.7
2022-04-19 02:19:03,11.7,4.6
2022-04-19 02:20:02,14.4,5.2
2022-04-19 02:21:02,16.5,5.5
2022-04-19 02:22:02,13.4,5.1
2022-04-19 02:23:03,11.1,4.8
2022-04-19 02:24:03,11.5,5.0
2022-04-19 02:25:03,11.7,5.3
2022-04-19 02:26:03,11.7,5.2
2022-04-19 02:27:03,11.9,4.9
2022-04-19 02:28:03,12.1,5.0
2022-04-19 02:29:03,11.7,4.9
2022-04-19 02:30:03,12.9,5.0
2022-04-19 02:31:03,12.0,5.0
2022-04-19 02:32:03,11.7,5.0
2022-04-19 02:33:03,13.6,5.0
2022-04-19 02:34:03,11.7,4.9
2022-04-19 02:35:03,10.8,4.7
2022-04-19 02:36:03,11.1,4.8
2022-04-19 02:37:03,10.8,4.6
2022-04-19 02:38:03,12.6,4.8
2022-04-19 02:39:03,11.6,4.8
2022-04-19 02:40:03,12.2,4.7
2022-04-19 02:41:03,11.9,4.6
2022-04-19 02:42:03,12.0,5.0
2022-04-19 02:43:03,11.0,4.5
2022-04-19 02:44:03,11.0,4.8
2022-04-19 02:45:03,13.0,4.8
2022-04-19 02:46:03,11.1,4.4
2022-04-19 02:47:03,11.4,4.7
2022-04-19 02:48:03,11.7,4.6
2022-04-19 02:49:03,12.3,5.1
2022-04-19 02:50:03,11.3,4.4
2022-04-19 02:51:03,11.4,4.8
2022-04-19 02:52:02,13.1,4.7
2022-04-19 02:53:02,12.8,4.8
2022-04-19 02:54:02,11.5,4.7
2022-04-19 02:55:03,11.4,4.8
2022-04-19 02:56:03,12.9,4.8
2022-04-19 02:57:03,11.7,4.6
2022-04-19 02:58:03,11.6,4.7
2022-04-19 02:59:03,13.7,5.0
2022-04-19 03:00:03,10.9,4.6
2022-04-19 03:01:03,10.5,4.4
2022-04-19 03:02:03,11.7,4.7
2022-04-19 03:03:03,11.9,4.6
2022-04-19 03:04:03,12.0,4.6
2022-04-19 03:05:03,12.8,4.4
2022-04-19 03:06:03,13.0,4.7
2022-04-19 03:07:03,12.2,5.2
2022-04-19 03:08:03,11.0,4.7
2022-04-19 03:09:03,11.4,4.5
2022-04-19 03:10:03,12.0,4.8
2022-04-19 03:11:03,14.5,4.7
2022-04-19 03:12:03,10.3,4.5
2022-04-19 03:13:03,12.1,4.7
2022-04-19 03:14:03,10.6,4.5
2022-04-19 03:15:03,11.2,4.6
2022-04-19 03:16:03,12.5,4.6
2022-04-19 03:17:03,12.9,4.6
2022-04-19 03:18:03,11.3,4.6
2022-04-19 03:19:03,9.9,4.3
2022-04-19 03:20:03,12.1,4.8
2022-04-19 03:21:03,10.8,4.6
2022-04-19 03:22:03,11.2,4.7
2022-04-19 03:23:03,11.7,4.2
2022-04-19 03:24:03,10.7,4.6
2022-04-19 03:25:03,13.0,4.5
2022-04-19 03:26:03,12.2,4.8
2022-04-19 03:27:03,12.3,4.7
2022-04-19 03:28:03,12.7,4.6
2022-04-19 03:29:02,11.7,4.6
2022-04-19 03:30:02,11.3,4.7
2022-04-19 03:31:02,10.8,4.5
2022-04-19 03:32:02,12.1,4.6
2022-04-19 03:33:03,12.0,4.3
2022-04-19 03:34:03,10.6,4.4
2022-04-19 03:35:03,12.3,4.6
2022-04-19 03:36:03,11.3,4.5
2022-04-19 03:37:03,12.4,4.9
2022-04-19 03:38:03,12.6,4.5
2022-04-19 03:39:03,12.8,4.5
2022-04-19 03:40:03,11.9,4.5
2022-04-19 03:41:03,11.7,4.3
2022-04-19 03:42:03,11.1,4.3
2022-04-19 03:43:03,12.1,4.6
2022-04-19 03:44:03,12.3,4.3
2022-04-19 03:45:03,11.3,4.5
2022-04-19 03:46:03,11.2,4.6
2022-04-19 03:47:03,11.0,4.3
2022-04-19 03:48:03,12.0,4.5
2022-04-19 03:49:03,11.6,4.5
2022-04-19 03:50:03,11.7,4.6
2022-04-19 03:51:03,12.4,4.7
2022-04-19 03:52:03,11.7,4.6
2022-04-19 03:53:03,11.8,4.5
2022-04-19 03:54:03,12.0,4.7
2022-04-19 03:55:03,11.7,4.8
2022-04-19 03:56:03,11.6,4.5
2022-04-19 03:57:03,12.2,4.7
2022-04-19 03:58:03,12.3,4.9
2022-04-19 03:59:03,11.9,4.6
2022-04-19 04:00:03,13.0,4.9
2022-04-19 04:01:03,11.5,4.5
2022-04-19 04:02:03,12.4,4.6
2022-04-19 04:03:03,11.8,4.7
2022-04-19 04:04:03,12.8,5.0
2022-04-19 04:05:03,12.5,4.9
2022-04-19 04:06:03,11.4,4.7
2022-04-19 04:07:03,11.7,4.7
2022-04-19 04:08:03,11.9,4.7
2022-04-19 04:09:03,11.9,4.8
2022-04-19 04:10:03,14.0,5.4
2022-04-19 04:11:02,10.6,4.7
2022-04-19 04:12:02,11.7,4.7
2022-04-19 04:13:02,11.0,4.8
2022-04-19 04:14:02,11.5,5.2
2022-04-19 04:15:03,11.3,5.3
2022-04-19 04:16:03,10.9,4.9
2022-04-19 04:17:03,11.7,4.8
2022-04-19 04:18:03,12.2,4.9
2022-04-19 04:19:03,11.5,4.8
2022-04-19 04:20:03,10.9,5.2
2022-04-19 04:21:03,11.7,5.0
2022-04-19 04:22:03,11.6,4.6
2022-04-19 04:23:03,12.9,5.0
2022-04-19 04:24:03,11.9,4.8
2022-04-19 04:25:03,12.0,5.2
2022-04-19 04:26:03,12.8,4.9
2022-04-19 04:27:03,14.0,5.2
2022-04-19 04:28:03,13.3,4.8
2022-04-19 04:29:03,12.0,4.8
2022-04-19 04:30:03,12.4,4.9
2022-04-19 04:31:03,12.7,4.8
2022-04-19 04:32:03,12.3,5.1
2022-04-19 04:33:03,12.6,4.9
2022-04-19 04:34:03,12.1,5.8
2022-04-19 04:35:03,11.2,5.3
2022-04-19 04:36:03,13.9,5.1
2022-04-19 04:37:03,11.7,5.1
2022-04-19 04:38:03,11.3,4.9
2022-04-19 04:39:03,11.8,5.0
2022-04-19 04:40:03,12.4,5.7
2022-04-19 04:41:03,12.3,5.2
2022-04-19 04:42:03,13.1,5.6
2022-04-19 04:43:03,12.6,5.3
2022-04-19 04:44:03,13.0,5.0
2022-04-19 04:45:03,13.5,5.3
2022-04-19 04:46:03,14.5,5.3
2022-04-19 04:47:03,12.6,5.0
2022-04-19 04:48:03,14.4,6.0
2022-04-19 04:49:03,12.2,5.1
2022-04-19 04:50:03,13.7,5.7
2022-04-19 04:51:03,14.2,5.6
2022-04-19 04:52:03,13.9,5.1
2022-04-19 04:53:03,12.0,4.8
2022-04-19 04:54:03,13.5,5.5
2022-04-19 04:55:03,13.7,5.2
2022-04-19 04:56:03,14.0,5.1
2022-04-19 04:57:03,11.5,4.8
2022-04-19 04:58:03,12.1,5.0
2022-04-19 04:59:03,12.3,4.8
