date,PM10,PM2_5
2022-04-17 00:00:03,9.8,3.2
2022-04-17 00:01:03,10.3,3.4
2022-04-17 00:02:03,10.9,3.3
2022-04-17 00:03:03,10.1,3.3
2022-04-17 00:04:03,9.2,3.1
2022-04-17 00:05:03,9.1,3.3
2022-04-17 00:06:03,10.2,3.6
2022-04-17 00:07:03,10.3,3.3
2022-04-17 00:08:03,9.5,3.3
2022-04-17 00:09:03,10.1,3.4
2022-04-17 00:10:03,10.2,3.5
2022-04-17 00:11:03,9.7,3.3
2022-04-17 00:12:03,10.4,3.3
2022-04-17 00:13:02,9.9,3.6
2022-04-17 00:14:03,10.0,3.4
2022-04-17 00:15:03,10.4,3.5
2022-04-17 00:16:03,9.1,3.3
2022-04-17 00:17:03,10.0,3.6
2022-04-17 00:18:03,11.7,3.6
2022-04-17 00:19:03,10.6,3.5
2022-04-17 00:20:03,11.5,3.7
2022-04-17 00:21:03,10.0,3.7
2022-04-17 00:22:03,9.8,3.5
2022-04-17 00:23:03,9.9,3.5
2022-04-17 00:24:03,9.7,3.6
2022-04-17 00:25:03,12.8,3.4
2022-04-17 00:26:03,9.8,3.5
2022-04-17 00:27:03,10.0,3.5
2022-04-17 00:28:03,11.0,3.8
2022-04-17 00:29:03,10.6,3.6
2022-04-17 00:30:03,10.8,3.5
2022-04-17 00:31:02,11.9,3.9
2022-04-17 00:32:03,10.4,3.9
2022-04-17 00:33:03,11.4,3.8
2022-04-17 00:34:03,10.8,3.7
2022-04-17 00:35:03,9.9,3.9
2022-04-17 00:36:03,9.9,3.6
2022-04-17 00:37:03,11.4,4.2
2022-04-17 00:38:03,10.1,3.8
2022-04-17 00:39:03,10.2,3.7
2022-04-17 00:40:03,12.2,3.9
2022-04-17 00:41:03,12.4,3.7
2022-04-17 00:42:03,10.6,3.9
2022-04-17 00:43:03,10.1,3.9
2022-04-17 00:44:03,9.8,3.6
2022-04-17 00:45:03,10.2,3.8
2022-04-17 00:46:03,10.7,4.1
2022-04-17 00:47:03,11.7,4.5
2022-04-17 00:48:03,10.7,4.1
2022-04-17 00:49:02,10.9,3.9
2022-04-17 00:50:03,9.9,4.0
2022-04-17 00:51:03,10.6,3.9
2022-04-17 00:52:03,11.4,4.1
2022-04-17 00:53:03,10.2,4.1
2022-04-17 00:54:03,10.6,3.8
2022-04-17 00:55:03,10.6,3.9
2022-04-17 00:56:03,10.2,3.9
2022-04-17 00:57:03,10.8,4.1
2022-04-17 00:58:03,10.1,3.7
2022-04-17 00:59:03,9.8,4.0
2022-04-17 01:00:03,10.0,4.0
2022-04-17 01:01:03,13.5,4.4
2022-04-17 01:02:03,10.5,3.9
2022-04-17 01:03:03,10.9,3.7
2022-04-17 01:04:03,12.6,3.6
2022-04-17 01:05:03,9.9,3.5
2022-04-17 01:06:03,10.4,3.7
2022-04-17 01:07:03,9.8,3.6
2022-04-17 01:08:02,10.1,3.6
2022-04-17 01:09:02,10.3,3.7
2022-04-17 01:10:03,9.7,3.6
2022-04-17 01:11:03,10.7,3.8
2022-04-17 01:12:03,10.5,4.0
2022-04-17 01:13:03,9.9,3.6
2022-04-17 01:14:03,8.9,3.3
2022-04-17 01:15:03,10.3,3.7
2022-04-17 01:16:03,9.3,3.4
2022-04-17 01:17:03,11.5,3.8
2022-04-17 01:18:03,10.1,3.4
2022-04-17 01:19:03,10.7,3.7
2022-04-17 01:20:03,10.4,3.5
2022-04-17 01:21:03,10.1,3.8
2022-04-17 01:22:03,10.3,3.5
2022-04-17 01:23:03,10.3,3.4
2022-04-17 01:24:03,9.4,3.4
2022-04-17 01:25:03,9.3,3.3
2022-04-17 01:26:03,9.2,3.2
2022-04-17 01:27:03,8.9,3.0
2022-04-17 01:28:03,10.3,3.2
2022-04-17 01:29:03,9.5,3.2
2022-04-17 01:30:02,10.3,3.2
2022-04-17 01:31:03,9.6,3.2
2022-04-17 01:32:03,8.6,3.3
2022-04-17 01:33:03,9.4,3.1
2022-04-17 01:34:03,9.2,3.1
2022-04-17 01:35:03,9.3,3.1
2022-04-17 01:36:03,8.9,3.1
2022-04-17 01:37:03,8.9,2.8
2022-04-17 01:38:03,10.1,3.1
2022-04-17 01:39:03,9.8,3.1
2022-04-17 01:40:03,8.2,2.8
2022-04-17 01:41:03,8.6,3.0
2022-04-17 01:42:03,9.0,3.0
2022-04-17 01:43:03,8.6,2.8
2022-04-17 01:44:03,9.1,3.0
2022-04-17 01:45:03,9.0,2.9
2022-04-17 01:46:03,12.0,3.3
2022-04-17 01:47:03,10.4,3.0
2022-04-17 01:48:03,9.1,2.9
2022-04-17 01:49:03,9.6,3.1
2022-04-17 01:50:03,10.2,3.1
2022-04-17 01:51:02,8.5,2.8
2022-04-17 01:52:02,8.2,2.9
2022-04-17 01:53:03,9.4,2.8
2022-04-17 01:54:03,9.6,2.9
2022-04-17 01:55:03,10.8,2.9
2022-04-17 01:56:03,8.5,3.0
2022-04-17 01:57:03,9.5,3.3
2022-04-17 01:58:03,9.3,3.0
2022-04-17 01:59:03,10.3,3.1
2022-04-17 02:00:03,8.4,2.7
2022-04-17 02:01:03,9.8,3.0
2022-04-17 02:02:03,9.0,2.9
2022-04-17 02:03:03,8.7,3.0
2022-04-17 02:04:03,8.7,2.7
2022-04-17 02:05:03,9.5,2.9
2022-04-17 02:06:03,8.6,2.7
2022-04-17 02:07:03,9.2,2.9
2022-04-17 02:08:03,9.0,2.9
2022-04-17 02:09:03,8.6,2.8
2022-04-17 02:10:03,8.2,2.6
2022-04-17 02:11:03,9.0,2.9
2022-04-17 02:12:03,8.9,2.8
2022-04-17 02:13:03,8.9,2.8
2022-04-17 02:14:02,8.8,2.6
2022-04-17 02:15:02,8.3,2.6
2022-04-17 02:16:03,9.1,2.8
2022-04-17 02:17:03,9.6,2.9
2022-04-17 02:18:03,8.8,2.8
2022-04-17 02:19:03,9.7,2.6
2022-04-17 02:20:03,10.0,2.8
2022-04-17 02:21:03,8.9,2.7
2022-04-17 02:22:03,9.1,2.9
2022-04-17 02:23:03,10.0,2.8
2022-04-17 02:24:03,9.1,2.6
2022-04-17 02:25:03,8.1,2.7
2022-04-17 02:26:03,9.1,2.8
2022-04-17 02:27:03,9.0,2.6
2022-04-17 02:28:03,8.6,2.6
2022-04-17 02:29:03,9.1,2.6
2022-04-17 02:30:03,8.9,2.8
2022-04-17 02:31:03,8.2,2.5
