date,PM10,PM2_5
2022-04-01 00:00:03,20.1,10.6
2022-04-01 00:01:04,22.8,11.1
2022-04-01 00:02:03,22.1,11.4
2022-04-01 00:03:03,23.9,10.9
2022-04-01 00:04:03,25.5,11.2
2022-04-01 00:05:03,23.4,11.2
2022-04-01 00:06:03,21.6,10.7
2022-04-01 00:07:03,23.4,11.0
2022-04-01 00:08:03,24.7,11.6
2022-04-01 00:09:03,23.7,10.8
2022-04-01 00:10:03,22.4,11.0
2022-04-01 00:11:03,25.7,11.2
2022-04-01 00:12:03,24.2,11.7
2022-04-01 00:13:03,22.3,11.4
2022-04-01 00:14:03,23.9,11.9
2022-04-01 00:15:03,24.1,12.1
2022-04-01 00:16:03,23.3,11.4
2022-04-01 00:17:03,23.9,11.5
2022-04-01 00:18:03,24.0,11.9
2022-04-01 00:19:03,25.2,11.9
2022-04-01 00:20:03,22.9,11.8
2022-04-01 00:21:03,22.9,11.9
2022-04-01 00:22:03,23.9,11.7
2022-04-01 00:23:03,23.4,11.4
2022-04-01 00:24:03,24.2,11.3
2022-04-01 00:25:03,25.6,11.5
2022-04-01 00:26:03,22.2,11.5
2022-04-01 00:27:03,24.7,11.8
2022-04-01 00:28:03,24.8,11.7
2022-04-01 00:29:03,24.6,11.7
2022-04-01 00:30:02,23.7,12.0
2022-04-01 00:31:02,24.6,12.2
2022-04-01 00:32:02,24.2,12.1
2022-04-01 00:33:02,26.0,11.8
2022-04-01 00:34:02,26.5,12.0
2022-04-01 00:35:03,23.1,11.8
2022-04-01 00:36:03,25.6,12.4
2022-04-01 00:37:03,23.9,11.6
2022-04-01 00:38:03,25.0,11.7
2022-04-01 00:39:03,24.5,12.5
2022-04-01 00:40:03,25.7,12.3
2022-04-01 00:41:03,25.0,12.2
2022-04-01 00:42:03,23.5,12.4
2022-04-01 00:43:03,25.1,12.3
2022-04-01 00:44:03,24.9,12.3
2022-04-01 00:45:03,24.8,12.8
2022-04-01 00:46:03,25.3,12.7
2022-04-01 00:47:03,24.3,12.6
2022-04-01 00:48:03,24.6,12.7
2022-04-01 00:49:03,24.6,12.4
2022-04-01 00:50:03,23.7,12.5
2022-04-01 00:51:03,24.6,12.6
2022-04-01 00:52:03,23.4,12.3
