date,PM10,PM2_5
2022-04-09 00:00:03,18.7,3.3
2022-04-09 00:01:04,14.6,3.5
2022-04-09 00:02:03,16.2,3.4
2022-04-09 00:03:03,19.6,3.9
2022-04-09 00:04:03,15.8,3.5
2022-04-09 00:05:03,19.7,3.9
2022-04-09 00:06:03,20.8,3.6
2022-04-09 00:07:03,17.5,3.3
2022-04-09 00:08:03,19.3,3.6
2022-04-09 00:09:03,17.2,3.5
2022-04-09 00:10:03,19.3,3.8
2022-04-09 00:11:03,19.6,3.5
2022-04-09 00:12:03,20.3,3.8
2022-04-09 00:13:03,18.5,3.3
2022-04-09 00:14:03,17.1,3.8
2022-04-09 00:15:03,15.3,3.3
2022-04-09 00:16:03,20.0,3.4
2022-04-09 00:17:02,17.4,3.5
2022-04-09 00:18:02,17.3,3.7
2022-04-09 00:19:03,19.1,3.8
2022-04-09 00:20:03,20.1,3.5
2022-04-09 00:21:03,19.2,3.7
2022-04-09 00:22:03,21.3,3.4
2022-04-09 00:23:04,17.9,3.5
2022-04-09 00:24:03,18.7,3.5
2022-04-09 00:25:03,17.4,3.4
2022-04-09 00:26:03,17.6,3.5
2022-04-09 00:27:03,21.6,3.8
2022-04-09 00:28:03,17.7,4.1
2022-04-09 00:29:03,18.2,3.5
2022-04-09 00:30:03,20.2,3.9
2022-04-09 00:31:03,18.8,3.7
2022-04-09 00:32:03,17.6,3.3
2022-04-09 00:33:03,17.6,3.6
2022-04-09 00:34:03,14.7,3.3
2022-04-09 00:35:03,17.3,3.4
2022-04-09 00:36:03,17.6,3.6
2022-04-09 00:37:03,17.5,3.3
2022-04-09 00:38:02,17.5,3.2
2022-04-09 00:39:02,17.0,3.5
2022-04-09 00:40:03,16.7,3.4
2022-04-09 00:41:03,16.1,3.3
2022-04-09 00:42:03,15.1,3.3
2022-04-09 00:43:03,19.3,3.6
2022-04-09 00:44:03,17.3,3.6
2022-04-09 00:45:03,18.1,3.3
2022-04-09 00:46:03,17.4,3.3
2022-04-09 00:47:03,20.0,3.6
2022-04-09 00:48:03,18.5,4.1
2022-04-09 00:49:03,17.6,3.5
2022-04-09 00:50:03,18.2,3.5
2022-04-09 00:51:03,14.9,3.2
2022-04-09 00:52:03,16.9,3.6
2022-04-09 00:53:03,17.7,3.3
2022-04-09 00:54:03,19.5,3.8
2022-04-09 00:55:03,16.6,3.2
2022-04-09 00:56:03,15.9,3.3
2022-04-09 00:57:03,19.1,3.4
2022-04-09 00:58:03,18.4,3.8
2022-04-09 00:59:03,19.4,4.4
2022-04-09 01:00:02,19.6,3.6
2022-04-09 01:01:02,16.7,3.4
2022-04-09 01:02:03,18.9,3.2
2022-04-09 01:03:03,16.1,3.3
2022-04-09 01:04:03,21.5,3.7
2022-04-09 01:05:03,19.9,3.8
2022-04-09 01:06:03,16.9,3.0
2022-04-09 01:07:03,15.9,3.4
2022-04-09 01:08:03,19.6,3.9
2022-04-09 01:09:03,15.9,3.6
2022-04-09 01:10:03,17.7,3.1
2022-04-09 01:11:03,16.0,3.1
2022-04-09 01:12:03,19.8,3.4
2022-04-09 01:13:03,17.9,3.2
2022-04-09 01:14:03,17.4,3.5
2022-04-09 01:15:03,18.4,3.4
2022-04-09 01:16:03,14.8,3.1
2022-04-09 01:17:03,16.9,3.1
2022-04-09 01:18:03,16.8,3.3
2022-04-09 01:19:03,15.6,3.2
2022-04-09 01:20:03,17.2,3.4
2022-04-09 01:21:03,17.8,3.7
2022-04-09 01:22:02,18.2,3.7
2022-04-09 01:23:02,16.8,3.4
2022-04-09 01:24:03,18.3,3.2
2022-04-09 01:25:03,18.8,3.5
2022-04-09 01:26:03,14.9,3.1
2022-04-09 01:27:03,19.9,3.5
2022-04-09 01:28:03,19.8,3.7
2022-04-09 01:29:03,18.4,3.3
2022-04-09 01:30:03,19.1,3.3
2022-04-09 01:31:03,16.8,2.9
2022-04-09 01:32:03,17.4,3.1
2022-04-09 01:33:03,15.5,3.1
2022-04-09 01:34:03,15.2,3.2
2022-04-09 01:35:03,16.4,3.1
2022-04-09 01:36:03,18.2,3.1
2022-04-09 01:37:03,15.9,3.4
2022-04-09 01:38:03,15.0,3.3
2022-04-09 01:39:03,16.7,3.3
2022-04-09 01:40:03,18.4,3.2
2022-04-09 01:41:03,16.7,3.1
2022-04-09 01:42:03,16.5,3.4
2022-04-09 01:43:03,14.3,3.3
2022-04-09 01:44:03,17.3,3.6
2022-04-09 01:45:03,15.4,3.3
2022-04-09 01:46:02,14.6,3.1
2022-04-09 01:47:03,16.9,3.8
2022-04-09 01:48:03,14.9,3.1
2022-04-09 01:49:03,17.3,3.5
2022-04-09 01:50:03,16.7,3.5
2022-04-09 01:51:03,19.3,3.4
2022-04-09 01:52:03,18.5,3.4
2022-04-09 01:53:03,18.1,3.5
2022-04-09 01:54:03,19.7,3.4
2022-04-09 01:55:03,18.5,3.4
2022-04-09 01:56:03,18.5,3.3
2022-04-09 01:57:03,18.0,3.5
2022-04-09 01:58:03,15.0,3.5
