date,PM10,PM2_5
2022-04-18 00:00:03,13.3,3.9
2022-04-18 00:01:03,13.1,3.9
2022-04-18 00:02:03,11.9,4.0
2022-04-18 00:03:03,12.3,4.0
2022-04-18 00:04:03,12.9,4.1
2022-04-18 00:05:02,13.1,3.9
2022-04-18 00:06:02,12.8,3.6
2022-04-18 00:07:02,11.2,3.1
2022-04-18 00:08:03,12.8,3.7
2022-04-18 00:09:03,11.4,3.3
2022-04-18 00:10:03,11.9,4.0
2022-04-18 00:11:03,10.6,3.2
2022-04-18 00:12:03,10.2,3.3
2022-04-18 00:13:03,12.0,3.4
2022-04-18 00:14:03,10.8,3.5
2022-04-18 00:15:03,11.6,3.8
2022-04-18 00:16:03,11.5,3.5
2022-04-18 00:17:03,10.6,3.4
2022-04-18 00:18:03,11.7,3.4
2022-04-18 00:19:03,13.6,3.6
2022-04-18 00:20:03,12.5,3.7
2022-04-18 00:21:03,11.5,3.5
2022-04-18 00:22:03,10.8,3.5
2022-04-18 00:23:03,12.0,3.8
2022-04-18 00:24:03,11.0,3.7
2022-04-18 00:25:03,11.0,3.6
2022-04-18 00:26:03,9.7,3.5
2022-04-18 00:27:03,12.8,3.5
2022-04-18 00:28:03,10.9,3.7
2022-04-18 00:29:03,11.8,3.9
2022-04-18 00:30:03,10.4,3.6
2022-04-18 00:31:03,10.2,3.6
2022-04-18 00:32:03,12.7,4.3
2022-04-18 00:33:03,13.8,4.4
2022-04-18 00:34:03,11.9,3.7
2022-04-18 00:35:02,10.8,3.7
2022-04-18 00:36:02,11.2,3.7
2022-04-18 00:37:02,11.4,3.8
2022-04-18 00:38:02,10.8,3.7
2022-04-18 00:39:03,10.5,3.6
2022-04-18 00:40:03,12.7,3.9
2022-04-18 00:41:03,11.8,3.6
2022-04-18 00:42:03,11.0,3.7
2022-04-18 00:43:03,10.8,3.6
2022-04-18 00:44:03,12.5,3.6
2022-04-18 00:45:03,10.9,3.7
2022-04-18 00:46:03,13.9,4.2
2022-04-18 00:47:03,10.9,3.6
2022-04-18 00:48:03,13.0,4.1
2022-04-18 00:49:03,11.7,3.8
2022-04-18 00:50:03,12.9,3.5
2022-04-18 00:51:03,12.0,3.7
2022-04-18 00:52:03,11.8,3.8
2022-04-18 00:53:03,11.5,3.6
2022-04-18 00:54:03,11.9,3.6
2022-04-18 00:55:03,12.2,4.0
2022-04-18 00:56:03,10.4,3.5
2022-04-18 00:57:03,12.7,3.9
2022-04-18 00:58:03,10.9,3.6
2022-04-18 00:59:03,11.9,3.7
2022-04-18 01:00:03,10.4,3.6
2022-04-18 01:01:03,11.6,3.7
2022-04-18 01:02:03,14.6,3.8
2022-04-18 01:03:03,10.9,3.9
2022-04-18 01:04:03,14.4,4.5
2022-04-18 01:05:03,12.9,4.1
2022-04-18 01:06:03,10.5,3.8
2022-04-18 01:07:03,12.9,4.1
2022-04-18 01:08:03,12.4,4.0
2022-04-18 01:09:03,10.8,3.8
2022-04-18 01:10:02,11.4,4.5
2022-04-18 01:11:02,12.8,4.5
2022-04-18 01:12:02,13.7,4.8
2022-04-18 01:13:02,12.1,4.1
2022-04-18 01:14:03,11.1,3.9
2022-04-18 01:15:03,12.8,4.1
2022-04-18 01:16:03,11.8,4.0
2022-04-18 01:17:03,11.7,3.9
2022-04-18 01:18:03,13.3,4.3
2022-04-18 01:19:03,13.0,3.9
2022-04-18 01:20:03,13.3,4.2
2022-04-18 01:21:03,13.2,4.1
2022-04-18 01:22:03,10.7,3.7
2022-04-18 01:23:03,11.5,3.7
2022-04-18 01:24:03,12.3,3.8
2022-04-18 01:25:03,12.8,4.0
2022-04-18 01:26:03,13.3,3.8
2022-04-18 01:27:03,12.3,3.9
2022-04-18 01:28:03,11.8,4.1
2022-04-18 01:29:03,10.7,4.0
2022-04-18 01:30:03,11.4,4.2
2022-04-18 01:31:03,11.2,4.0
2022-04-18 01:32:03,10.7,3.8
2022-04-18 01:33:03,10.2,4.1
2022-04-18 01:34:03,12.7,4.2
2022-04-18 01:35:03,13.3,4.2
2022-04-18 01:36:03,12.9,3.9
2022-04-18 01:37:03,11.8,3.7
2022-04-18 01:38:03,12.0,3.8
2022-04-18 01:39:03,12.2,3.8
2022-04-18 01:40:03,11.5,3.8
2022-04-18 01:41:03,12.1,3.7
2022-04-18 01:42:03,10.9,3.8
2022-04-18 01:43:03,11.9,4.1
2022-04-18 01:44:03,10.9,3.9
2022-04-18 01:45:03,11.4,3.9
2022-04-18 01:46:02,10.6,3.8
2022-04-18 01:47:02,12.3,3.9
2022-04-18 01:48:02,13.4,3.8
2022-04-18 01:49:02,12.5,4.1
2022-04-18 01:50:03,14.5,4.1
2022-04-18 01:51:03,12.0,3.8
2022-04-18 01:52:03,10.0,3.5
2022-04-18 01:53:03,10.7,3.7
2022-04-18 01:54:03,11.8,4.0
2022-04-18 01:55:03,11.7,3.6
2022-04-18 01:56:03,10.9,3.5
2022-04-18 01:57:03,10.2,3.8
2022-04-18 01:58:03,10.6,3.8
2022-04-18 01:59:03,12.1,3.9
2022-04-18 02:00:03,11.1,4.0
2022-04-18 02:01:03,11.7,4.2
2022-04-18 02:02:03,11.1,3.9
2022-04-18 02:03:03,12.3,4.0
2022-04-18 02:04:03,12.8,3.8
2022-04-18 02:05:03,12.9,4.0
2022-04-18 02:06:03,12.1,4.0
2022-04-18 02:07:03,11.7,3.9
2022-04-18 02:08:03,12.3,4.2
2022-04-18 02:09:03,10.9,3.8
2022-04-18 02:10:03,13.7,4.2
2022-04-18 02:11:03,11.3,3.7
2022-04-18 02:12:03,10.4,4.0
2022-04-18 02:13:03,11.9,4.0
2022-04-18 02:14:03,10.5,4.0
2022-04-18 02:15:03,11.3,3.9
2022-04-18 02:16:03,12.3,4.3
2022-04-18 02:17:03,9.5,3.8
2022-04-18 02:18:03,12.2,4.0
2022-04-18 02:19:03,9.7,3.7
2022-04-18 02:20:03,11.2,3.7
2022-04-18 02:21:03,9.8,3.6
2022-04-18 02:22:03,12.2,4.0
2022-04-18 02:23:03,10.7,3.8
2022-04-18 02:24:03,11.4,3.8
2022-04-18 02:25:03,11.9,3.8
2022-04-18 02:26:03,10.7,3.6
2022-04-18 02:27:03,11.0,3.7
2022-04-18 02:28:02,10.3,3.6
2022-04-18 02:29:02,10.0,3.6
2022-04-18 02:30:02,10.3,3.6
2022-04-18 02:31:02,12.7,4.1
2022-04-18 02:32:02,10.4,3.7
2022-04-18 02:33:02,10.8,3.6
2022-04-18 02:34:03,10.1,3.3
2022-04-18 02:35:03,10.0,3.5
2022-04-18 02:36:03,11.3,3.6
2022-04-18 02:37:03,10.9,3.7
2022-04-18 02:38:03,13.1,3.6
2022-04-18 02:39:03,10.7,3.6
2022-04-18 02:40:03,10.2,3.3
2022-04-18 02:41:03,11.2,3.4
2022-04-18 02:42:03,9.3,3.6
2022-04-18 02:43:03,12.2,3.6
2022-04-18 02:44:03,11.5,3.7
2022-04-18 02:45:03,11.5,3.8
2022-04-18 02:46:03,10.4,3.4
2022-04-18 02:47:03,10.4,3.9
2022-04-18 02:48:03,11.2,3.6
2022-04-18 02:49:03,10.2,3.4
2022-04-18 02:50:03,11.2,3.7
2022-04-18 02:51:03,11.1,3.6
2022-04-18 02:52:03,9.9,3.6
2022-04-18 02:53:03,11.9,3.6
2022-04-18 02:54:03,11.9,3.5
2022-04-18 02:55:03,11.9,3.6
2022-04-18 02:56:03,12.7,4.1
2022-04-18 02:57:03,9.9,3.4
