date,PM10,PM2_5
2022-03-27 19:06:37,37.3,19.0
2022-03-27 19:08:02,37.6,18.7
2022-03-27 19:09:03,33.2,18.0
2022-03-27 19:10:03,34.5,18.1
2022-03-27 19:11:03,30.0,17.0
2022-03-27 19:12:03,31.5,17.6
2022-03-27 19:13:03,33.0,17.6
2022-03-27 19:14:03,33.9,17.7
2022-03-27 19:15:03,33.6,18.1
2022-03-27 19:16:03,34.4,18.4
2022-03-27 19:17:03,32.9,18.2
2022-03-27 19:18:03,38.6,18.7
2022-03-27 19:19:03,36.0,19.2
2022-03-27 19:20:03,37.5,18.7
2022-03-27 19:21:03,34.7,18.4
2022-03-27 19:22:02,38.7,20.2
2022-03-27 19:23:03,40.9,19.4
2022-03-27 19:24:03,41.5,20.6
2022-03-27 19:25:03,36.0,19.1
2022-03-27 19:26:03,33.1,18.6
2022-03-27 19:27:03,36.2,18.6
2022-03-27 19:28:03,32.3,18.5
2022-03-27 19:29:03,36.7,19.3
2022-03-27 19:30:03,38.9,20.1
2022-03-27 19:31:03,34.6,19.1
2022-03-27 19:32:03,34.7,18.8
2022-03-27 19:33:03,34.4,18.9
2022-03-27 19:34:03,37.0,19.8
2022-03-27 19:35:02,38.7,22.1
2022-03-27 19:36:03,39.6,23.0
2022-03-27 19:37:03,37.3,20.3
2022-03-27 19:38:03,38.7,20.5
2022-03-27 19:39:03,40.3,19.6
2022-03-27 19:40:03,40.1,19.2
2022-03-27 19:41:03,38.7,20.1
2022-03-27 19:42:03,37.4,19.4
2022-03-27 19:43:03,39.3,19.3
2022-03-27 19:44:03,36.4,19.3
2022-03-27 19:45:03,33.6,18.5
2022-03-27 19:46:03,38.7,19.5
2022-03-27 19:47:03,36.0,19.1
2022-03-27 19:48:03,40.3,19.7
2022-03-27 19:49:02,36.7,18.8
2022-03-27 19:50:03,35.7,18.4
2022-03-27 19:51:03,34.2,18.9
2022-03-27 19:52:03,36.1,18.0
2022-03-27 19:53:03,40.0,19.0
2022-03-27 19:54:03,32.9,18.3
2022-03-27 19:55:03,37.6,19.0
2022-03-27 19:56:03,36.8,18.2
2022-03-27 19:57:03,38.3,18.8
2022-03-27 19:58:03,34.7,18.1
2022-03-27 19:59:03,36.0,18.4
2022-03-27 20:00:03,32.7,17.4
2022-03-27 20:01:03,34.6,18.1
2022-03-27 20:02:03,33.7,18.2
2022-03-27 20:03:02,36.4,19.0
2022-03-27 20:04:03,40.1,18.4
2022-03-27 20:05:03,32.7,18.5
2022-03-27 20:06:03,35.6,18.4
2022-03-27 20:07:03,36.7,18.7
2022-03-27 20:08:03,36.4,19.2
2022-03-27 20:09:03,34.7,18.9
2022-03-27 20:10:03,35.6,18.8
2022-03-27 20:11:03,39.3,19.3
2022-03-27 20:12:03,38.7,18.5
2022-03-27 20:13:03,36.3,18.5
2022-03-27 20:14:03,36.1,19.1
2022-03-27 20:15:03,39.0,20.1
2022-03-27 20:16:03,36.9,18.8
2022-03-27 20:17:02,36.8,19.1
2022-03-27 20:18:03,41.5,19.0
2022-03-27 20:19:03,44.2,19.1
2022-03-27 20:20:03,41.1,18.5
2022-03-27 20:21:03,39.4,18.7
2022-03-27 20:22:03,35.1,18.4
2022-03-27 20:23:03,40.6,18.9
2022-03-27 20:24:03,41.7,18.5
2022-03-27 20:25:03,37.1,18.2
2022-03-27 20:26:03,33.4,17.8
2022-03-27 20:27:03,34.4,18.1
2022-03-27 20:28:03,37.2,18.3
2022-03-27 20:29:03,34.6,17.9
2022-03-27 20:30:03,35.1,17.9
2022-03-27 20:31:02,33.8,17.6
2022-03-27 20:32:03,35.2,18.4
2022-03-27 20:33:03,36.3,17.9
2022-03-27 20:34:03,32.2,18.2
2022-03-27 20:35:03,41.1,18.5
2022-03-27 20:36:03,35.3,18.8
2022-03-27 20:37:03,32.5,17.5
2022-03-27 20:38:03,32.1,17.9
2022-03-27 20:39:03,36.9,19.3
2022-03-27 20:40:03,31.8,19.0
2022-03-27 20:41:03,36.6,18.5
2022-03-27 20:42:03,36.9,19.0
2022-03-27 20:43:03,39.1,19.1
2022-03-27 20:44:03,40.0,19.5
2022-03-27 20:45:03,38.6,19.9
2022-03-27 20:46:02,34.5,20.0
2022-03-27 20:47:03,39.5,20.2
2022-03-27 20:48:03,38.3,19.9
2022-03-27 20:49:03,39.8,19.3
2022-03-27 20:50:03,40.3,19.3
2022-03-27 20:51:03,37.0,19.6
2022-03-27 20:52:03,38.2,19.6
2022-03-27 20:53:03,38.7,19.9
2022-03-27 20:54:03,36.9,19.4
2022-03-27 20:55:03,38.1,20.5
2022-03-27 20:56:03,35.4,20.0
