date,PM10,PM2_5
2022-04-07 00:00:03,9.2,3.6
2022-04-07 00:01:03,9.1,3.3
2022-04-07 00:02:03,10.4,3.4
2022-04-07 00:03:03,9.4,3.2
2022-04-07 00:04:03,9.4,3.6
2022-04-07 00:05:03,10.0,3.8
2022-04-07 00:06:03,10.6,3.5
2022-04-07 00:07:03,10.4,3.3
2022-04-07 00:08:03,9.7,3.3
2022-04-07 00:09:03,10.6,3.7
2022-04-07 00:10:03,9.5,3.5
2022-04-07 00:11:03,11.7,3.6
2022-04-07 00:12:03,9.7,3.2
2022-04-07 00:13:03,9.2,3.3
2022-04-07 00:14:02,10.2,3.5
2022-04-07 00:15:02,10.1,3.8
2022-04-07 00:16:02,10.1,3.7
2022-04-07 00:17:02,10.6,3.6
2022-04-07 00:18:02,9.2,3.5
2022-04-07 00:19:02,11.1,3.3
2022-04-07 00:20:02,9.6,3.2
2022-04-07 00:21:02,10.6,3.6
2022-04-07 00:22:02,10.3,3.8
2022-04-07 00:23:02,10.9,4.4
2022-04-07 00:24:02,9.5,3.5
2022-04-07 00:25:02,10.2,3.6
2022-04-07 00:26:03,10.2,3.6
2022-04-07 00:27:03,10.9,3.6
2022-04-07 00:28:03,10.1,3.6
2022-04-07 00:29:03,10.8,3.8
2022-04-07 00:30:03,13.8,3.8
2022-04-07 00:31:03,11.7,3.9
2022-04-07 00:32:03,11.9,3.9
2022-04-07 00:33:03,9.9,3.7
2022-04-07 00:34:03,10.9,3.8
2022-04-07 00:35:03,10.0,3.8
2022-04-07 00:36:03,11.1,4.1
2022-04-07 00:37:03,11.4,3.9
2022-04-07 00:38:03,13.6,3.9
2022-04-07 00:39:03,10.1,3.6
2022-04-07 00:40:03,11.3,3.8
2022-04-07 00:41:03,10.5,3.7
2022-04-07 00:42:03,10.6,3.7
2022-04-07 00:43:03,11.3,4.1
2022-04-07 00:44:03,10.3,3.7
2022-04-07 00:45:03,10.0,3.6
2022-04-07 00:46:03,9.5,3.8
2022-04-07 00:47:03,11.2,3.9
2022-04-07 00:48:03,11.9,3.8
2022-04-07 00:49:03,11.9,3.7
2022-04-07 00:50:03,11.0,4.1
2022-04-07 00:51:03,10.4,4.0
2022-04-07 00:52:03,10.0,4.2
2022-04-07 00:53:03,10.4,4.4
2022-04-07 00:54:03,10.4,4.5
2022-04-07 00:55:03,11.7,4.2
2022-04-07 00:56:03,11.3,4.2
2022-04-07 00:57:03,11.1,4.7
2022-04-07 00:58:03,11.4,4.9
2022-04-07 00:59:03,11.1,4.4
2022-04-07 01:00:03,10.6,4.1
2022-04-07 01:01:03,10.3,4.0
2022-04-07 01:02:03,10.9,4.3
