date,PM10,PM2_5
2022-04-14 00:00:03,28.1,13.1
2022-04-14 00:01:02,32.8,13.0
2022-04-14 00:02:03,29.4,12.9
2022-04-14 00:03:03,28.4,12.7
2022-04-14 00:04:03,28.7,12.5
2022-04-14 00:05:03,29.5,12.9
2022-04-14 00:06:03,27.5,12.7
2022-04-14 00:07:03,28.0,12.9
2022-04-14 00:08:03,27.5,12.6
2022-04-14 00:09:03,27.6,12.6
2022-04-14 00:10:03,26.2,12.7
2022-04-14 00:11:03,27.9,12.2
2022-04-14 00:12:03,28.5,11.8
2022-04-14 00:13:03,27.2,12.2
2022-04-14 00:14:03,25.3,11.9
2022-04-14 00:15:03,26.6,11.9
2022-04-14 00:16:03,25.9,11.9
2022-04-14 00:17:02,26.1,11.5
2022-04-14 00:18:03,29.2,12.0
2022-04-14 00:19:03,24.9,11.2
2022-04-14 00:20:03,26.0,11.6
2022-04-14 00:21:03,24.9,10.7
2022-04-14 00:22:03,27.0,11.7
2022-04-14 00:23:03,23.6,10.9
2022-04-14 00:24:03,27.8,11.7
2022-04-14 00:25:03,25.3,11.8
2022-04-14 00:26:03,25.9,11.5
2022-04-14 00:27:03,26.7,12.9
2022-04-14 00:28:03,25.2,12.3
2022-04-14 00:29:03,24.9,11.1
2022-04-14 00:30:03,28.4,12.1
2022-04-14 00:31:03,25.9,11.7
2022-04-14 00:32:03,24.9,11.0
2022-04-14 00:33:03,25.6,10.9
2022-04-14 00:34:02,26.2,11.8
2022-04-14 00:35:03,27.6,12.5
2022-04-14 00:36:03,29.0,12.0
2022-04-14 00:37:03,27.4,11.3
2022-04-14 00:38:03,27.3,12.5
2022-04-14 00:39:03,26.9,12.6
2022-04-14 00:40:03,26.2,12.5
2022-04-14 00:41:03,28.8,14.5
2022-04-14 00:42:03,27.2,13.6
2022-04-14 00:43:03,28.9,13.4
2022-04-14 00:44:03,31.1,13.9
2022-04-14 00:45:03,29.4,13.0
2022-04-14 00:46:03,29.5,13.8
2022-04-14 00:47:03,30.4,13.1
2022-04-14 00:48:03,31.0,13.8
2022-04-14 00:49:03,27.7,12.7
2022-04-14 00:50:03,28.1,12.8
2022-04-14 00:51:03,29.0,13.3
2022-04-14 00:52:03,30.0,13.4
2022-04-14 00:53:02,29.0,14.3
2022-04-14 00:54:03,28.1,13.8
2022-04-14 00:55:03,26.5,13.1
2022-04-14 00:56:03,29.4,13.6
2022-04-14 00:57:03,27.4,13.6
2022-04-14 00:58:03,29.4,14.2
2022-04-14 00:59:03,31.3,14.4
2022-04-14 01:00:03,28.4,14.1
2022-04-14 01:01:03,30.0,13.8
2022-04-14 01:02:03,30.5,14.6
2022-04-14 01:03:03,31.5,14.4
2022-04-14 01:04:03,31.8,13.9
2022-04-14 01:05:03,31.8,14.1
2022-04-14 01:06:03,27.7,13.7
2022-04-14 01:07:03,31.5,14.7
2022-04-14 01:08:03,29.1,13.9
2022-04-14 01:09:03,30.6,15.0
2022-04-14 01:10:03,28.1,14.5
2022-04-14 01:11:03,30.4,14.8
2022-04-14 01:12:03,31.2,14.7
2022-04-14 01:13:03,31.2,15.1
2022-04-14 01:14:02,30.0,14.9
2022-04-14 01:15:02,29.2,14.6
2022-04-14 01:16:03,32.3,15.3
2022-04-14 01:17:03,29.6,14.3
2022-04-14 01:18:03,32.6,14.8
2022-04-14 01:19:03,28.5,14.9
2022-04-14 01:20:03,29.4,14.3
2022-04-14 01:21:03,28.2,14.5
2022-04-14 01:22:03,32.0,15.4
2022-04-14 01:23:03,30.6,15.7
2022-04-14 01:24:03,31.2,15.0
2022-04-14 01:25:03,31.4,15.5
2022-04-14 01:26:03,33.6,16.0
2022-04-14 01:27:03,37.3,16.3
2022-04-14 01:28:03,31.1,15.9
2022-04-14 01:29:03,32.9,15.4
2022-04-14 01:30:03,31.0,15.1
2022-04-14 01:31:03,33.3,15.8
2022-04-14 01:32:03,33.5,15.8
2022-04-14 01:33:03,35.9,15.6
2022-04-14 01:34:02,28.2,15.9
2022-04-14 01:35:02,31.5,15.1
